beds,date,price
0.0,2020-09-01,62.342592592592595
0.0,2020-09-02,62.39259259259259
0.0,2020-09-03,63.04814814814815
0.0,2020-09-04,64.49814814814815
0.0,2020-09-05,64.45925925925926
0.0,2020-09-06,62.78888888888889
0.0,2020-09-07,62.69074074074074
0.0,2020-09-08,62.45925925925926
0.0,2020-09-09,62.55
0.0,2020-09-10,63.08148148148148
0.0,2020-09-11,64.81481481481481
0.0,2020-09-12,64.61666666666666
0.0,2020-09-13,63.09814814814815
0.0,2020-09-14,65.49259259259259
0.0,2020-09-15,65.61666666666666
0.0,2020-09-16,65.92407407407407
0.0,2020-09-17,65.93703703703704
0.0,2020-09-18,67.4962962962963
0.0,2020-09-19,67.60555555555555
0.0,2020-09-20,66.3037037037037
0.0,2020-09-21,66.22777777777777
0.0,2020-09-22,66.25185185185185
0.0,2020-09-23,66.30185185185185
0.0,2020-09-24,66.50555555555556
0.0,2020-09-25,67.83148148148148
0.0,2020-09-26,67.97962962962963
0.0,2020-09-27,66.82037037037037
0.0,2020-09-28,66.66666666666667
0.0,2020-09-29,66.62407407407407
0.0,2020-09-30,66.60740740740741
0.0,2020-10-01,67.0
0.0,2020-10-02,68.3037037037037
0.0,2020-10-03,68.3425925925926
0.0,2020-10-04,66.97407407407407
0.0,2020-10-05,66.95185185185186
0.0,2020-10-06,67.05185185185185
0.0,2020-10-07,67.03703703703704
0.0,2020-10-08,67.00555555555556
0.0,2020-10-09,68.07777777777778
0.0,2020-10-10,68.29814814814814
0.0,2020-10-11,67.00925925925925
0.0,2020-10-12,67.64074074074074
0.0,2020-10-13,67.64259259259259
0.0,2020-10-14,67.67592592592592
0.0,2020-10-15,67.17962962962963
0.0,2020-10-16,68.34814814814816
0.0,2020-10-17,68.21481481481482
0.0,2020-10-18,66.84444444444445
0.0,2020-10-19,66.92222222222222
0.0,2020-10-20,67.0
0.0,2020-10-21,67.00925925925925
0.0,2020-10-22,67.06111111111112
0.0,2020-10-23,68.78333333333333
0.0,2020-10-24,68.89074074074074
0.0,2020-10-25,67.43703703703704
0.0,2020-10-26,67.27037037037037
0.0,2020-10-27,67.29074074074074
0.0,2020-10-28,67.28518518518518
0.0,2020-10-29,67.30740740740741
0.0,2020-10-30,68.24814814814815
0.0,2020-10-31,68.31851851851852
0.0,2020-11-01,68.6037037037037
0.0,2020-11-02,67.62037037037037
0.0,2020-11-03,68.02222222222223
0.0,2020-11-04,67.98148148148148
0.0,2020-11-05,68.0037037037037
0.0,2020-11-06,68.38333333333334
0.0,2020-11-07,69.94074074074074
0.0,2020-11-08,68.76666666666667
0.0,2020-11-09,68.92962962962963
0.0,2020-11-10,68.94074074074074
0.0,2020-11-11,68.95555555555555
0.0,2020-11-12,68.98148148148148
0.0,2020-11-13,69.94444444444444
0.0,2020-11-14,69.97777777777777
0.0,2020-11-15,68.75740740740741
0.0,2020-11-16,68.6574074074074
0.0,2020-11-17,68.65
0.0,2020-11-18,68.66481481481482
0.0,2020-11-19,68.00740740740741
0.0,2020-11-20,70.02222222222223
0.0,2020-11-21,70.07037037037037
0.0,2020-11-22,68.85555555555555
0.0,2020-11-23,67.94074074074074
0.0,2020-11-24,68.46666666666667
0.0,2020-11-25,68.6962962962963
0.0,2020-11-26,68.76666666666667
0.0,2020-11-27,69.84444444444445
0.0,2020-11-28,69.82592592592593
0.0,2020-11-29,67.76296296296296
0.0,2020-11-30,69.06481481481481
0.0,2020-12-01,69.62037037037037
0.0,2020-12-02,69.85555555555555
0.0,2020-12-03,69.4037037037037
0.0,2020-12-04,69.82222222222222
0.0,2020-12-05,69.9074074074074
0.0,2020-12-06,68.98333333333333
0.0,2020-12-07,68.92592592592592
0.0,2020-12-08,69.84074074074074
0.0,2020-12-09,69.85555555555555
0.0,2020-12-10,70.36851851851851
0.0,2020-12-11,69.77037037037037
0.0,2020-12-12,69.77962962962962
0.0,2020-12-13,69.90555555555555
0.0,2020-12-14,69.91851851851852
0.0,2020-12-15,68.8037037037037
0.0,2020-12-16,68.79629629629629
0.0,2020-12-17,69.0037037037037
0.0,2020-12-18,71.87407407407407
0.0,2020-12-19,71.96666666666667
0.0,2020-12-20,71.4574074074074
0.0,2020-12-21,71.89259259259259
0.0,2020-12-22,72.21111111111111
0.0,2020-12-23,72.33888888888889
0.0,2020-12-24,72.56851851851852
0.0,2020-12-25,73.66666666666667
0.0,2020-12-26,74.07592592592593
0.0,2020-12-27,74.46296296296296
0.0,2020-12-28,73.76481481481481
0.0,2020-12-29,74.4037037037037
0.0,2020-12-30,76.1037037037037
0.0,2020-12-31,77.10740740740741
0.0,2021-01-01,75.35
0.0,2021-01-02,73.87962962962963
0.0,2021-01-03,72.15555555555555
0.0,2021-01-04,70.45555555555555
0.0,2021-01-05,70.19444444444444
0.0,2021-01-06,70.07407407407408
0.0,2021-01-07,70.09814814814816
0.0,2021-01-08,71.03888888888889
0.0,2021-01-09,71.03888888888889
0.0,2021-01-10,70.05185185185185
0.0,2021-01-11,70.1462962962963
0.0,2021-01-12,70.17777777777778
0.0,2021-01-13,70.18148148148148
0.0,2021-01-14,70.61481481481482
0.0,2021-01-15,72.44814814814815
0.0,2021-01-16,72.45555555555555
0.0,2021-01-17,71.44444444444444
0.0,2021-01-18,71.49259259259259
0.0,2021-01-19,71.4962962962963
0.0,2021-01-20,71.5
0.0,2021-01-21,71.49814814814815
0.0,2021-01-22,72.46851851851852
0.0,2021-01-23,71.47037037037038
0.0,2021-01-24,69.28148148148148
0.0,2021-01-25,70.54814814814814
0.0,2021-01-26,70.55555555555556
0.0,2021-01-27,70.55925925925926
0.0,2021-01-28,70.46481481481482
0.0,2021-01-29,71.43148148148148
0.0,2021-01-30,71.42962962962963
0.0,2021-01-31,70.39444444444445
0.0,2021-02-01,70.43888888888888
0.0,2021-02-02,71.6
0.0,2021-02-03,71.75740740740741
0.0,2021-02-04,71.87222222222222
0.0,2021-02-05,72.07407407407408
0.0,2021-02-06,72.05
0.0,2021-02-07,70.5425925925926
0.0,2021-02-08,68.92407407407407
0.0,2021-02-09,68.75185185185185
0.0,2021-02-10,69.35185185185185
0.0,2021-02-11,69.39074074074074
0.0,2021-02-12,72.12777777777778
0.0,2021-02-13,72.12962962962963
0.0,2021-02-14,70.99814814814815
0.0,2021-02-15,70.28148148148148
0.0,2021-02-16,70.28518518518518
0.0,2021-02-17,70.16666666666667
0.0,2021-02-18,69.41851851851852
0.0,2021-02-19,71.19444444444444
0.0,2021-02-20,71.19814814814815
0.0,2021-02-21,69.35
0.0,2021-02-22,70.39444444444445
